technology,rsp,state,geography,download_busy,upload_busy,latency_busy,tier,underperforming
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,105.69,18.94,7.68,100/20 Mbps,FALSE
Fibre to the Node,TPG,TAS,Minor Rural,51.87,18.29,23.91,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,26.09,4.64,9.36,25/5 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,VIC,Urban,53.11,18.83,4.76,50/20 Mbps,FALSE
Fibre to the Node,Exetel,VIC,Urban,53.35,18.84,8.35,50/20 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Urban,106.74,18.94,3.66,100/20 Mbps,FALSE
Fibre to the Premises,Launtel,TAS,Urban,413.37,45.79,12.72,400/50 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,265.34,23.46,8.04,250/25 Mbps,FALSE
Fibre to the Node,Optus,TAS,Minor Rural,37.69,10.07,22.57,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,108.98,18.9,10.33,100/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,NT + SA,Urban,105.11,18.64,15.08,100/20 Mbps,FALSE
Fibre to the Premises,Superloop,NT + SA,Urban,54.08,18.95,10.95,50/20 Mbps,FALSE
Fibre to the Node,Exetel,NT + SA,Urban,52.86,18.79,18.13,50/20 Mbps,FALSE
Fibre to the Premises,Superloop,VIC,Urban,108.38,37.92,2.22,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,NT + SA,Urban,101.87,18.81,16.36,100/20 Mbps,FALSE
Fibre to the Premises,Vodafone,VIC,Urban,53.26,18.7,2.2,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,53.8,18.95,7.81,50/20 Mbps,FALSE
Fibre to the Premises,Telstra,TAS,Urban,108.91,18.82,13.24,100/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,52.91,18.94,1.93,50/20 Mbps,FALSE
Hybrid Fibre Coaxial,Superloop,VIC,Urban,271.74,23.71,7.46,250/25 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Urban,108.26,37.95,2.76,100/40 Mbps,FALSE
Fibre to the Node,Leaptel,VIC,Urban,97.36,17.72,8.84,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,264.41,23.77,8.54,250/25 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,270.58,94.61,2.27,250/100 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,107.67,37.83,7.89,100/40 Mbps,FALSE
Fibre to the Premises,Exetel,NT + SA,Urban,106.03,18.86,11.23,100/20 Mbps,FALSE
Fibre to the Curb,Optus,VIC,Urban,107.94,18.63,7.15,100/20 Mbps,FALSE
Fibre to the Node,Telstra,VIC,Urban,93.77,18.79,10.95,100/20 Mbps,FALSE
Fibre to the Premises,Telstra,VIC,Major Rural,270.63,23.68,6.66,250/25 Mbps,FALSE
Fibre to the Premises,Other RSPs,TAS,Urban,27.23,9.46,13.91,25/10 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,107.65,18.92,2.31,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,TPG,VIC,Urban,23.2,4.68,9.04,25/5 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,108.32,18.93,4.34,100/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,NT + SA,Urban,261.6,23.64,14.1,250/25 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,VIC,Urban,107.66,18.79,10.81,100/20 Mbps,FALSE
Fibre to the Node,Dodo & iPrimus,VIC,Major Rural,53.47,18.84,13.63,50/20 Mbps,FALSE
Fibre to the Premises,Leaptel,VIC,Urban,105.03,18.96,4.65,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Exetel,NT + SA,Urban,105.8,18.77,18.57,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Aussie Broadband,VIC,Urban,99.77,18.78,10.7,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Dodo & iPrimus,VIC,Urban,26.15,9.33,8.86,25/10 Mbps,FALSE
Fibre to the Premises,TPG,TAS,Urban,105.57,18.82,13.84,100/20 Mbps,FALSE
Fibre to the Premises,Launtel,NT + SA,Urban,103.09,36.66,12.67,100/40 Mbps,FALSE
Hybrid Fibre Coaxial,Telstra,VIC,Urban,106.34,18.7,8.77,100/20 Mbps,FALSE
Fibre to the Premises,Dodo & iPrimus,TAS,Urban,100.5,18.21,13.08,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Leaptel,VIC,Urban,51.27,18.26,8.34,50/20 Mbps,FALSE
Fibre to the Premises,Exetel,VIC,Urban,108.44,18.84,2.92,100/20 Mbps,FALSE
Hybrid Fibre Coaxial,Vodafone,VIC,Urban,51.47,18.67,8.61,50/20 Mbps,FALSE
Fibre to the Node,Other RSPs,TAS,Urban,27.3,9.21,25.47,25/10 Mbps,FALSE
Fibre to the Premises,Launtel,TAS,Urban,261.86,22.91,9.33,250/25 Mbps,FALSE
Fibre to the Premises,Aussie Broadband,VIC,Urban,105.28,18.79,4.98,100/20 Mbps,FALSE
Fibre to the Premises,Optus,VIC,Urban,108.14,18.67,8.83,100/20 Mbps,FALSE
Fibre to the Node,iiNet,VIC,Urban,51.79,18.88,9.48,50/20 Mbps,FALSE
